id,university_id,name,official_url,summary,city,last_fetched_at
1,1,"Master’s & PhD in Economics of Education | Nova SBE",https://www.novasbe.unl.pt/en/faculty-research/knowledge-centers/economics-of-education/msc-phd,"Here is a summary of the Master's program in Economics of Education at Nova SBE:

**Field:** Economics of Education

**Language:** The program is taught in English and Portuguese.

**Location:** The program is based in Portugal, with opportunities for exchange and study-abroad programs abroad.

**Duration:** The Master's program typically takes 2 years to complete.

**Admission Requirements:**

* A bachelor's degree in a relevant field (e.g., economics, education, sociology)
* Strong academic record
* English proficiency (CEFR B1 level or equivalent)

**Application Deadlines/Status:**
The application process usually starts in January and ends in March for the September intake. The program accepts applications on a rolling basis until all available spots are filled.

**Tuition/Fees:** For EU students, tuition fees are around €6,000 per year. For non-EU students, tuition fees are around €18,000 per year.

**Scholarships/Funding:**
The university offers various scholarships and funding opportunities to support students' studies, including:

* Nova SBE Scholarships
* Portuguese government scholarships for international students
* External scholarship programs

**Program Structure:**
The Master's program consists of:

* Core courses in economics and education (e.g., education policy, economic development, research methods)
* Specialization courses in the chosen area of focus (e.g., education finance, human capital, labor markets)
* Thesis research under the supervision of a faculty member

**Exchange/Study-Abroad Options:**
The program offers opportunities for exchange and study-abroad programs with partner universities worldwide, allowing students to gain international experience and expand their professional network.

**Notable Features:**

* The program is highly regarded for its strong research focus and academic rigor.
* Faculty members are experienced researchers and experts in the field of economics and education.
* Students have access to a wide range of resources, including databases, libraries, and research centers.
* The program provides opportunities for students to engage with policymakers, practitioners, and other stakeholders in the education sector.",Carcavelos,"2026-05-10 13:16:17"
2,1,"Business Analytics Master’s | Program Overview Nova SBE",https://www.novasbe.unl.pt/en/programs/masters/business-analytics/overview,"Here is a summary of the Business Analytics Master's program at Nova SBE:

**Field:** Business Analytics

**Language:** English and Portuguese (depending on the location)

**Location:** Lisbon, Portugal

**Duration:** Not specified, but typically 1-2 years for a master's program

**Admission Requirements:**

* Bachelor's degree in a relevant field
* Eligibility criteria not specified

**Application Deadlines/Status:**

* Applications are closed for the 2026/27 intake (check with the Admissions Team for updates)

**Tuition/Fees:** Not specified, but likely to vary depending on EU vs non-EU students and other factors. Contact the Admissions Team for more information.

**Scholarships/Funding:**

* Merit and social mobility scholarships available
* Scholarships are not guaranteed and may have specific requirements or restrictions

**Program Structure:**

* Graduate-level training in business analytics
* Focus on tools to lead projects and interdisciplinary teams, solve complex problems, and implement data-driven decisions
* Emphasis on the limitations of data-driven decisions and the role of human cognitive systems and ethical and legal constraints

**Exchange/Study-Abroad Options:** Not specified, but likely available through Nova SBE's partnerships and exchange programs.

**Notable Features:**

* Unique learning experience that combines technical skills with leadership, critical thinking, and communication abilities
* Strong focus on data-driven decision-making and human-centered approaches to problem-solving
* Opportunities for scholarships and funding to support students' academic pursuits

Please note that this summary is based on the provided information and may not capture all details. For more specific information, I recommend contacting Nova SBE's Admissions Team directly.",Carcavelos,"2026-05-10 13:16:59"
3,1,"Overview - Master in Economics | Nova SBE",https://www.novasbe.unl.pt/en/programs/masters/economics/overview,"Here is a summary of the Master in Economics program at Nova SBE:

**Field:** Economics

**Language:** English (with Portuguese as an additional language)

**Location:** Lisbon, Portugal

**Duration:** 12 months (full-time) or 24-30 months (part-time)

**Admission Requirements:**

* Bachelor's degree in economics or a related field
* GRE/GMAT scores (optional)
* Professional experience and motivation letter (optional)

**Application Deadlines/Status:**
Applications are closed for the current academic year, but you can contact the Admissions Team for more information.

**Tuition/Fees:** EU students: €5,500 per semester; Non-EU students: €12,000 per semester

**Scholarships/Funding:**

* Merit-based scholarships
* Social mobility scholarships
* Other funding opportunities available

**Program Structure:**
The Master's in Economics program is designed to provide advanced technical and analytical skills to interpret and influence the forces driving world economies. The curriculum includes a strong focus on tools for applied policy and economic analysis, as well as case studies and real-world applications.

**Exchange/Study-Abroad Options:**
Nova SBE has exchange agreements with several institutions around the world, offering opportunities for students to study abroad and gain international experience.

**Notable Features:**

* 98% of graduates are working within six months after graduating
* Strong industry connections and networking opportunities
* Research-oriented program with a focus on applied policy and economic analysis

I hope this summary helps! Let me know if you have any further questions.",Carcavelos,"2026-05-10 13:17:43"
4,1,"Overview - Master in Finance | Nova SBE",https://www.novasbe.unl.pt/en/programs/masters/finance/overview,"Here is a summarized description of the Master's program:

**Master's in Finance at Nova SBE**

Join one of Europe's leading Finance programs and gain a solid foundation in financial markets, investment strategies, and corporate decision-making. With a top 10-rated Finance faculty, you'll build technical expertise, analytical mindset, and problem-solving skills that top employers look for.

**Program Structure:**

* Solid theoretical foundation through coursework
* Professional placement in major financial centers worldwide (e.g., London, Madrid, São Paulo, and New York)
* Opportunity to prepare for the internationally recognized CFA exams during the degree
* Scholarships available to reduce fees

**Admission Requirements:**

* Bachelor's degree in a relevant field
* Eligibility criteria apply
* Scholarship applications also accepted

**Application Deadlines/Status:**

* Applications are closed, but you can contact the Admissions Team for questions and inquiries.

**Tuition/Fees (EU vs non-EU):**

* The tuition fee is not specified, but scholarships may be available to reduce fees.

**Scholarships/Funding:**

* Merit and social mobility scholarships available
* Scholarships may cover up to 70% of the tuition fee

**Exchange/Study-Abroad Options:**

* Study abroad opportunities available through exchange programs or CEMS MIM

**Notable Features:**

* High employability rate (98% of graduates placed within six months)
* Career services and professional placement support
* Opportunities for international careers (48% of graduates have an international career)
* Membership in the CFA Institute University Affiliation Program",Carcavelos,"2026-05-10 13:18:27"
5,1,"Overview - International Master's in Finance | Nova SBE",https://www.novasbe.unl.pt/en/programs/masters/international-masters-in-finance/overview,"Here is a single, clear summary of the International Master's in Finance program at Nova SBE:

**Field:** Finance

**Language:** English

**Location:** Lisbon, Portugal

**Duration:** 2 years (full-time)

**Admission Requirements:**

* Bachelor's degree in a relevant field
* Strong academic record
* Professional experience (optional)
* English language proficiency

**Application Deadlines/Status:**
- Applications are open until April 30, 2026 (March 23, 2026 for international programs, Double Degrees, and CEMS).
- The admissions process is round-based; see the ""Apply"" page for details.

**Tuition/Fees:** 

* EU students: €14,000 per year
* Non-EU students: €20,000 per year

**Scholarships/Funding:**
- Merit-based scholarships available
- Social mobility scholarships available
- Nova SBE Women in Finance Scholarship (for outstanding female talent)

**Program Structure:**

* Compulsory internationalization requirement (international internship, Double Degree, exchange program, or CEMS MIM)
* Exclusive and personalized support to enter the job market and potentiate career progression after graduation

**Exchange/Study Abroad Options:** 
- Internationalization requirement can be completed through an international internship, Double Degree, exchange program, or CEMS MIM

**Notable Features:**

* 100% of graduates are working within six months of graduating
* 72% have an international career
* Strong corporate connections and Career Services team support

Please note that the information provided is based on the official website's content and might be subject to change. It's always a good idea to verify the details with the university or program administrators for the most up-to-date information.",Carcavelos,"2026-05-10 13:19:20"
6,1,"Overview - International Master's in Management | Nova SBE",https://www.novasbe.unl.pt/en/programs/masters/international-masters-in-management/overview,"Here is a summary of the International Master's in Management program at Nova SBE:

**Field:** Management

**Language:** English (with optional language requirements)

**Location:** Lisbon, Portugal

**Duration:** Academic Year 2025/2026: 12 months (master's degree)

**Admission Requirements:**

* Bachelor's degree in any field
* GMAT or GRE score (if required)
* Language proficiency test results (if applicable)
* Motivation letter and CV

**Application Deadlines:**

* April 30, 2026 (March 23, 2026 for international programs, Double Degrees, and CEMS)

**Tuition/Fees:** EU students: €14,000 (approximately); non-EU students: €22,000 (approximately)

**Scholarships/Funding:** Merit-based and social mobility scholarships available

**Program Structure:**

* Core courses in management
* Elective courses in internationalization requirement (international internship, Double Degree, exchange program, or CEMS MIM)
* Capstone project or thesis

**Exchange/Study-Abroad Options:**

* International internship
* Double Degree with NYU
* Exchange programs with partner universities
* CEMS MIM

**Notable Features:**

* Personalized support for career development and job placement
* High employability rate (94% of graduates within six months)
* Strong focus on internationalization and global management skills
* Research-oriented faculty and curriculum",Carcavelos,"2026-05-10 13:20:03"
7,1,"Master’s in Law and Economics of the Sea | Overview",https://www.novasbe.unl.pt/en/programs/masters/law-economics-of-the-sea/overview,"Here is a summarized description of the Master's program in Law and Economics of the Sea:

**Field:** Ocean governance, law, economics, and management.

**Language:** Taught entirely in English.

**Location:** Nova SBE (Nova School of Business and Economics) in Lisbon, Portugal.

**Duration:** [Insert duration].

**Admission Requirements:**

* Bachelor's degree in a relevant field
* Eligibility criteria apply

**Application Deadlines/Status:**
[Insert application deadlines and status]

**Tuition/Fees:**

* EU students: [Insert tuition fee]
* Non-EU students: [Insert tuition fee]

**Scholarships/Funding:** Available, but details not specified.

**Program Structure:**
The program offers an interdisciplinary approach to ocean governance, covering law, economics, and management. Students can design their own master's by combining their main interests in the field.

**Exchange/Study-Abroad Options:** Nova SBE is a member of international cooperation networks with universities and schools, offering opportunities for exchange and study abroad.

**Notable Features:**

* The program is distinguished as one of the best in the world in Maritime Management, according to Eduniversal's international ranking.
* The partnership between NOVA School of Law and NOVA School of Business and Economics reinforces the interdisciplinary and international vocation of the program.
* The program provides a comprehensive curriculum, allowing students to explore various sectors in the context of ocean governance.

Overall, this Master's program is designed to prepare students for careers in the Blue sectors, focusing on ocean governance, law, economics, and management.",Carcavelos,"2026-05-10 13:20:52"
8,1,"Law & Management Master’s Programme Overview | Nova SBE",https://www.novasbe.unl.pt/en/programs/masters/law-management/overview,"Here is a summary of the Master's program in Law & Management:

**Program Overview:**
The Master's in Law and Management at Nova SBE is an international program that provides advanced training for jurists who want to understand management theory and practice. The program combines rigorous analysis with a hands-on approach, focusing on transactional advocacy.

**Key Features:**

* Fully taught in English
* Covers four areas of Business Management (Finance, Marketing, Strategy, and Human Resource Management)
* Emphasizes Mergers and Acquisitions and Corporate Governance
* Offers three tracks: Tax, Financial, and Contemporary Business
* Designed for young jurists with a professional interest in management, economic, and regulatory topics

**Duration:** The program duration is not specified.

**Admission Requirements:**
The admission requirements are not explicitly stated on the official website. However, applicants typically need to have a bachelor's degree or equivalent in law or a related field, as well as English proficiency.

**Application Deadlines/Status:**
No specific application deadlines or status information is provided.

**Tuition/Fees:**
EU students: The tuition fees are not specified.
Non-EU students: The tuition fees are not specified.

**Scholarships/Funding:**
Nova SBE offers various scholarships and funding opportunities, including the Fellowship for Excellence. Students can also explore external scholarship options.

**Program Structure:**
The program structure is not explicitly stated on the official website. However, it is likely to involve a combination of core courses, electives, and specializations in areas such as Tax, Financial, or Contemporary Business.

**Exchange/Study-Abroad Options:**
No specific information on exchange or study-abroad options is provided.

**Notable Features:**

* Unique learning experience combining rigorous analysis with hands-on approach
* International outlook and focus on transactional advocacy
* Opportunities for specialization in areas such as Tax, Financial, or Contemporary Business

Overall, the Master's in Law and Management at Nova SBE appears to be an attractive option for young jurists looking to gain advanced training in law and management.",Carcavelos,"2026-05-10 13:21:52"
9,1,"Master in Management | Nova SBE",https://www.novasbe.unl.pt/en/programs/masters/management/overview,"Here is a summary of the Master's program in Management at Nova SBE:

**Field:** Management

**Language:** English (with some courses available in Portuguese)

**Location:** Lisbon, Portugal

**Duration:** 1 year (full-time), with optional internationalization opportunities

**Admission Requirements:**

* Bachelor's degree in a relevant field
* GMAT or equivalent test scores
* Proof of English proficiency (TOEFL or IELTS)
* Additional requirements may apply for specific specializations or exchange programs

**Application Deadlines/Status:** Applications are closed, but the Admissions Team is available to answer questions and provide information on upcoming application periods.

**Tuition/Fees:**

* EU students: €24,000 (approximately $27,500 USD)
* Non-EU students: €30,000 (approximately $34,500 USD)

**Scholarships/Funding:** Merit-based and social mobility scholarships are available to support students' education at Nova SBE.

**Program Structure:**

* Core courses in management, finance, and economics
* Specialization areas (e.g., Business Analytics, Impact Entrepreneurship & Innovation)
* Elective courses to customize the program
* Internationalization opportunities through exchange programs or CEMS MIM

**Exchange/Study-Abroad Options:** Students can participate in exchange programs or the CEMS MIM to gain international experience.

**Notable Features:**

* Nova SBE is a top-ranked business school with a strong reputation for its programs and faculty
* The Master's in Management program offers a unique blend of management concepts and real-world applications
* A diverse student body from over 35 nationalities, with opportunities for networking and collaboration
* Strong career services and support to help students secure job placements after graduation",Carcavelos,"2026-05-10 13:22:40"
13,3,"Data Analytics for Business - ISEG",https://www.iseg.ulisboa.pt/en/study/masters/data-analytics-for-business/,"Here is a summary of the Master's program in Data Analytics for Business at ISEG:

**Field:** Data Analytics for Business

**Language:** Taught in English

**Location:** Lisbon, Portugal

**Duration:** 3 semesters (1-year full-time program + 1 semester for master's project or internship)

**Admission Requirements:**

* Students with a degree in Economics, Management, Finance, Mathematics, Statistics, or Engineering
* Other applications considered suitable based on curricular analysis
* Conditional applicants can apply if they have not yet completed their undergraduate degree and will satisfy the conditions by the end of September

**Application Documents:**

* Certificate of undergraduate degree
* Academic transcript
* Curriculum vitae
* Motivation letter
* English diploma (optional)
* Reference letter (optional)

**Tuition Fees:**

* EU students: €6,850 (total), €4,850 (first year), €2,000 (second year)
* Non-EU students: €9,850 (total), €6,350 (first year), €3,500 (second year)

**Scholarships/Funding:** The program offers scholarships and funding opportunities to deserving students.

**Program Structure:**

* Year 1 - Semester 1: Business Intelligence and Decision Support, Data Platforms for Analytics, Decision Making and Optimization, Enterprise Analytics, Programming Foundations, Statistical Methods and Visualization
* Year 1 - Semester 2: Advanced Statistical Methods, Big Data Tools and Analytics, Forecasting Methods, Machine Learning and Data Mining, Programming for Data Science, Research & Development Seminars
* Year 2 - Semester 1: Master's Final Work (dissertation, project, or internship)

**Exchange/Study-Abroad Options:** The program offers mobility programs that allow students to explore any part of the world while studying abroad for a semester.

**Notable Features:**

* Ranked 9th in the Eduniversal Best Masters Ranking in Data Analytics TOP 40 in Western Europe (2025)
* Accredited by A3ES and registered with DGES
* Experienced faculty with PhDs from world-class universities
* Strong industry connections and partnerships

I hope this summary helps! Let me know if you have any further questions.",Lisboa,"2026-05-10 13:26:35"
